Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
124_1157,istruzione,,2018,231957,ISTAT,2025-07-15
124_1157,istruzione,,2019,382799,ISTAT,2025-07-15
124_1157,istruzione,,2020,554161,ISTAT,2025-07-15
124_1157,istruzione,,2021,269886,ISTAT,2025-07-15
124_1157,istruzione,,2022,432139,ISTAT,2025-07-15
124_1157,istruzione,,2016,181289,ISTAT,2025-07-15
124_1157,istruzione,,2017,298054,ISTAT,2025-07-15
124_1157,istruzione,,2018,231957,ISTAT,2025-07-15
124_1157,istruzione,,2019,382799,ISTAT,2025-07-15
124_1157,istruzione,,2020,554161,ISTAT,2025-07-15
124_1157,istruzione,,2021,269886,ISTAT,2025-07-15
124_1157,istruzione,,2022,432139,ISTAT,2025-07-15
124_1157,istruzione,,2016,15299135,ISTAT,2025-07-15
124_1157,istruzione,,2017,521537,ISTAT,2025-07-15
124_1157,istruzione,,2018,914209,ISTAT,2025-07-15
124_1157,istruzione,,2019,821597,ISTAT,2025-07-15
124_1157,istruzione,,2020,514238,ISTAT,2025-07-15
124_1157,istruzione,,2021,1440899,ISTAT,2025-07-15
124_1157,istruzione,,2022,1139631,ISTAT,2025-07-15
124_1157,istruzione,,2016,15299135,ISTAT,2025-07-15
124_1157,istruzione,,2017,521537,ISTAT,2025-07-15
124_1157,istruzione,,2018,914209,ISTAT,2025-07-15
124_1157,istruzione,,2019,821597,ISTAT,2025-07-15
124_1157,istruzione,,2020,514238,ISTAT,2025-07-15
124_1157,istruzione,,2021,1440899,ISTAT,2025-07-15
124_1157,istruzione,,2022,1139631,ISTAT,2025-07-15
124_1157,istruzione,,2016,11482480561,ISTAT,2025-07-15
124_1157,istruzione,,2017,11257784660,ISTAT,2025-07-15
124_1157,istruzione,,2018,11217136176,ISTAT,2025-07-15
124_1157,istruzione,,2019,11498886378,ISTAT,2025-07-15
124_1157,istruzione,,2020,11308082585,ISTAT,2025-07-15
124_1157,istruzione,,2021,12158474573,ISTAT,2025-07-15
124_1157,istruzione,,2022,13451230839,ISTAT,2025-07-15
124_1157,istruzione,,2016,11482480561,ISTAT,2025-07-15
124_1157,istruzione,,2017,11257784660,ISTAT,2025-07-15
124_1157,istruzione,,2018,11217136176,ISTAT,2025-07-15
124_1157,istruzione,,2019,11498886378,ISTAT,2025-07-15
124_1157,istruzione,,2020,11308082585,ISTAT,2025-07-15
124_1157,istruzione,,2021,12158474573,ISTAT,2025-07-15
124_1157,istruzione,,2022,13451230839,ISTAT,2025-07-15
124_1157,istruzione,,2016,6827907727,ISTAT,2025-07-15
124_1157,istruzione,,2017,6700356261,ISTAT,2025-07-15
124_1157,istruzione,,2018,6602574106,ISTAT,2025-07-15
124_1157,istruzione,,2019,6739639390,ISTAT,2025-07-15
124_1157,istruzione,,2020,6789191107,ISTAT,2025-07-15
124_1157,istruzione,,2021,7063496567,ISTAT,2025-07-15
124_1157,istruzione,,2022,7522009662,ISTAT,2025-07-15
124_1157,istruzione,,2016,6827907727,ISTAT,2025-07-15
124_1157,istruzione,,2017,6700356261,ISTAT,2025-07-15
124_1157,istruzione,,2018,6602574106,ISTAT,2025-07-15
124_1157,istruzione,,2019,6739639390,ISTAT,2025-07-15
124_1157,istruzione,,2020,6789191107,ISTAT,2025-07-15
124_1157,istruzione,,2021,7063496567,ISTAT,2025-07-15
124_1157,istruzione,,2022,7522009662,ISTAT,2025-07-15
124_1157,istruzione,,2016,3442464021,ISTAT,2025-07-15
124_1157,istruzione,,2017,3414185890,ISTAT,2025-07-15
124_1157,istruzione,,2018,3561854369,ISTAT,2025-07-15
124_1157,istruzione,,2019,3766160266,ISTAT,2025-07-15
124_1157,istruzione,,2020,3537279810,ISTAT,2025-07-15
124_1157,istruzione,,2021,4025228783,ISTAT,2025-07-15
124_1157,istruzione,,2022,4819810257,ISTAT,2025-07-15
124_1157,istruzione,,2016,3442464021,ISTAT,2025-07-15
