Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
124_1156,istruzione,,2016,21901452908,ISTAT,2025-07-15
124_1156,istruzione,,2017,23287959962,ISTAT,2025-07-15
124_1156,istruzione,,2018,24515112223,ISTAT,2025-07-15
124_1156,istruzione,,2019,25809772097,ISTAT,2025-07-15
124_1156,istruzione,,2020,27396304262,ISTAT,2025-07-15
124_1156,istruzione,,2021,28976573124,ISTAT,2025-07-15
124_1156,istruzione,,2022,32117670635,ISTAT,2025-07-15
124_1156,istruzione,,2016,21901452908,ISTAT,2025-07-15
124_1156,istruzione,,2017,23287959962,ISTAT,2025-07-15
124_1156,istruzione,,2018,24515112223,ISTAT,2025-07-15
124_1156,istruzione,,2019,25809772097,ISTAT,2025-07-15
124_1156,istruzione,,2020,27396304262,ISTAT,2025-07-15
124_1156,istruzione,,2021,28976573124,ISTAT,2025-07-15
124_1156,istruzione,,2022,32117670635,ISTAT,2025-07-15
124_1156,istruzione,,2016,1013009297,ISTAT,2025-07-15
124_1156,istruzione,,2017,1055359064,ISTAT,2025-07-15
124_1156,istruzione,,2018,774993365,ISTAT,2025-07-15
124_1156,istruzione,,2019,853174950,ISTAT,2025-07-15
124_1156,istruzione,,2020,912384972,ISTAT,2025-07-15
124_1156,istruzione,,2021,1001743281,ISTAT,2025-07-15
124_1156,istruzione,,2022,1084991162,ISTAT,2025-07-15
124_1156,istruzione,,2016,1013009297,ISTAT,2025-07-15
124_1156,istruzione,,2017,1055359064,ISTAT,2025-07-15
124_1156,istruzione,,2018,774993365,ISTAT,2025-07-15
124_1156,istruzione,,2019,853174950,ISTAT,2025-07-15
124_1156,istruzione,,2020,912384972,ISTAT,2025-07-15
124_1156,istruzione,,2021,1001743281,ISTAT,2025-07-15
124_1156,istruzione,,2022,1084991162,ISTAT,2025-07-15
124_1156,istruzione,,2016,9389736430,ISTAT,2025-07-15
124_1156,istruzione,,2017,9530712074,ISTAT,2025-07-15
124_1156,istruzione,,2018,9644182290,ISTAT,2025-07-15
124_1156,istruzione,,2019,9703440011,ISTAT,2025-07-15
124_1156,istruzione,,2020,9814600015,ISTAT,2025-07-15
124_1156,istruzione,,2021,9826157333,ISTAT,2025-07-15
124_1156,istruzione,,2022,10099052492,ISTAT,2025-07-15
124_1156,istruzione,,2016,9389736430,ISTAT,2025-07-15
124_1156,istruzione,,2017,9530712074,ISTAT,2025-07-15
124_1156,istruzione,,2018,9644182290,ISTAT,2025-07-15
124_1156,istruzione,,2019,9703440011,ISTAT,2025-07-15
124_1156,istruzione,,2020,9814600015,ISTAT,2025-07-15
124_1156,istruzione,,2021,9826157333,ISTAT,2025-07-15
